Razão Social,Fantasia,C.N.P.J.,I.E.,Endereço,Complemento,Número,Bairro,Cidade,CEP,UF
TRANSPORTES RIO LEVE CONCEICAO LTDA,TRANSPORTES RIO LEVE,38.244.749/0001-57,127.198.266.110,AVENIDA PATOS,,1349,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
TRANSPORTES OLIVEIRA LTDA,OLIVEIRA TRANSPORTES LTDA,02.896.766/0004-74,336759765118,AV LINDOMAR GOMES OLIVEIRA ,,624,JD CUMBICA,GUARULHOS,07232-150,SP
TRANSPORTES NOVO NORDESTE LTDA ,TRANSPORTES NOVO NORDESTE LTDA,08.025.389/0002-12,336.265.976.118,RUA JULIO DE CASTILHO,,28,CUMBICA,GUARULHOS,07223-170,SP
TRANSPORTES MONTONE EIRELI,TRANSPORTES MONTONE EIRELI,43.246.941/0001-12,110.289.495.112,AV LEONARDO DA VINCI,1642,1624,VILA GUARANI (ZONA SUL),SAO PAULO,04313-001,SP
TRANSPORTES LUANJO,TRANSPORTES LUANJO,22.506.836/0002-86,796147333118,RUA MANOEL ALONSO ALMENDRA,,152 A,CUMBICA,GUARULHOS,07182-120,SP
TRANSPORTES LOGIST DIA NOITE LTDA,TRANSPORTES LOGIST DIA NOITE LTDA,02.556.936/0001-29,ISENTO,VIELA URGA,,200,VILA NOVA BONSUCESSO,GUARULHOS,07175-332,SP
TRANSPORTES J E CAMPO GRANDE LTDA ME (LOGISTICA CAMPO GRANDE),LOGISTICA CAMPO GRANDE,09.653.410/0001-06,148178877119,AV GUILHERME,,1054,VILA GUILHERME,SAO PAULO,02053-002,SP
TRANSPORTES INTEGRADOS DO MARANHAO LTDA - ME (TRANSMAR),TRANSMAR,04.585.940/0002-21,336.694.510.115,AV. SANTOS DUMONT,,1702,CUMBICA,GUARULHOS,07220-000,SP
TRANSPORTES GRITSCH LTDA,TRANSPORTES GRITSCH LTDA,90.739.624/0003-80,114.968.314.110,AV. RAIMUNDO PEREIRA MAGALHÃES,CENTRO LOGÍSTICO DE PERUS 2 GALPÃO 8 ,18500,VILA SANTA CRUZ,SAO PAULO,05220-000,SP
TRANSPORTES GARCIA SAO CARLOS LTDA,TRANSPORTES GARCIA SAO CARLOS LTDA,67.921.023/0013-43,127.680.820.115,ROD FERNAO DIAS,KM 560,SN,VILA SAO RAFAEL,GUARULHOS,07053-171,SP
TRANSPORTES FLAVINHO LTDA - ME,TRANSPORTES FLAVINHO LTDA - ME,21.308.332/0001-08,796.276.189.115,PRACA MALI,,111,JARDIM PRESIDENTE DUTRA,GUARULHOS,07173-141,SP
TRANSPORTES E MUDANCAS REIS ARAGAO LTDA,TRANSPORTES E MUDANCAS REIS,17.706.435/0002-30,796.111.765.110,RUA IPACAETA,,1143,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171-150,SP
TRANSPORTES E LOGISTICA DIA & NOITE LTDA LTDA,TRANSPORTES E LOGISTICA DIA & NOITE LTDA LTDA,02.556.936/0002-00,795735037116,RUA JOAO GALVAO ANDERSON,,439,TERMINAL INTERMODAL DE CARGAS (TIC),CAMPINAS,13069-107,SP
TRANSPORTES DE CARGAS  MGA LTDA,TRANSPORTES DE CARGAS  MGA LTDA,49.978.056/0002-95,127867033113,AVENIDA VENTUROSA,,312,JARDIM CUMBICA,GUARULHOS,07240-000,SP
TRANSPORTES CIVARDI LTDA,TRANSPORTES CIVARDI LTDA,93.986.032/0001-99,010005617,RUA HUMBERTO LUIGI GIACOMELLO,PAVLH 01 NUMERO 344 PAVLH 02 NUMERO 324,324,SANTO ANTAO ,BENTO GONCALVES,95702-632,RS
TRANSPORTES CARINHOSO LTDA,TRANSPORTES CARINHOSO LTDA,01.568.020/0002-07,388.073.828.112,AV EMILIO CHECHINATO,,1551,SAO ROQUE DA CHAVE,ITUPEVA,13295-000,SP
TRANSPORTES ALTERNATIVOS EIRELI - ME,TRANSPORTES ALTERNATIVOS EIRELI - ME,03.160.431/0004-56,209.296.980.118,RUA JORGE PIMENTEL,,5-49,VILA GALVÃO ,BAURU,14047-010,SP
TRANSPORTE WARTHA LTDA (MESMA DA TRANS V & S TRANSPORTES),TRANSPORTE 2001 / TRANS V & S TRANSPORTES,01.784.706/0002-35,114.871.677.119,ESTRADA  DO CAPÃO BONITO,LOTE: 69 70 E 71;,420,JARDIM MARIA DE LOURDES,GUARULHOS,07263-010,SP
TRANSPORTE TRANSLOVATO LTDA ,TRANSPORTE TRANSLOVATO LTDA ,89.823.918/0003-06,0962615722,AV PLINIO KROEFF,,.,.,PORTO ALEGRE,00000-000,RS
TRANSPORTE MAGALHAES LTDA,TRANSPORTE MAGALHAES LTDA,02.146.823/0001-55,336458240112,RUA PROFESSOR JOAO CAVALEIRO SALEM,,1200,PARQUE DAS NACOES,GUARULHOS,07243-580,SP
TRANSPORTE J CONRADO LTDA,TRANSPORTE J CONRADO LTDA,12.069.035/0001-66,194075362,R SAO CONRADO,,418,CENTRO,BOQUEIRAO DO PIAUI,64283-000,PI
TRANSPORTE EMERICK LTDA,TRANSPORTE EMERICK LTDA,17.250.689/0004-58,336.258.854.118,AVENIDA REGIS,,201,CIDADE JARDIM CUMBICA,GUARULHOS,07180-120,SP
TRANSPORTE E LOGISTICA CAMPOS LTDA ME ,TRANSPORTE CAMPOS,23.869.706/0001-90,181.250.573.114,AVENIDA ALFREDO COELHO DE OLIVEIRA,,167,JARDIM QUITANDINHA,ARARAQUARA,14801-020,SP
TRANSPORTE E DISTRIBUICAO N. D. SILVA EIRELI - EPP,TRANSPORTE E DISTRIBUICAO N. D. SILVA EIRELI - EPP,05.427.426/0001-40,336.702.754.119,RUA SEGUNDO-TENENTE-AVIADOR ALY C. DE PAULA,,22,CIDADE JARDIM CUMBICA,GUARULHOS,07181-065,SP
TRANSPORTE CAMPOS DE ARARAQUARA LTDA,TRANSPORTE CAMPOS DE ARARAQUARA LTDA,14.061.099/0002-27,141179060118,RUA DOMINGOS PACHECO,QD 4 LOTE 13,209,.,SÃO PAULO,00000-000,SP
TRANSPORTE CAMILLO DOS SANTOS LTDA  ,TRANSPORTE CAMILLO DOS SANTOS LTDA  ,25.335.282/0003-70,112128267115,AV NATALIA ZARIF ,UNIDADE 6,660,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-040,SP
TRANSPORTE AMARANTE FERRADOSA LTDA-ME,AMARANTE FERRADOSA ( NÃO FAZ COLETA),65.771.453/0001-67,ISENTO,RUA CABO ROMEU CASAGRANDE,,90,PARQUE NOVO MUNDO,SÃO PAULO,02180-060,SP
TransportadoraTNT,TransportadoraTNT,95.591.723/0058-54,7010421904,RODOVIA PR-317 (SAIDA PARA CAMPO MOURAO),,5283,GLEBA RIBEIRAO PINGUIM ,MARINGA,87065-011,PR
TRANSPORTADORA VALENCIA LTDA,TRANSPORTADORA VALENCIA LTDA,05.533.204/0001-01,336.756.205.114,AV JOAO BASSI (PRQ IND FERREIRA FERNANDES),,153,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-440,SP
TRANSPORTADORA TRANSLEAL,TRANSPORTADORA TRANSLEAL,21.662.155/0001-63,ISENTO,AVENIDA DEPUTADO FEDERAL MARIO EUGENIO,,595,PARQUE RESIDENCIAL DAMHA,ARARAQUARA,14804-440,SP
TRANSPORTADORA TMSLTDA,TRANSPORTADORA TMSLTDA,03.431.344/0002-24,116174583113,RUA DIAS DA SILVA,A,366 ,VILA JUNQUEIRA,SANTO ANDRE,09172-600,SP
TRANSPORTADORA SANTANENSE LTDA ,TRANSPORTADORA SANTANENSE LTDA ,72.354.004/0002-60,148.124.173.114,RUA EMILIO LANG JUNIOR,,38,PONTE GRANDE,GUARULHOS,07031-260,SP
TRANSPORTADORA SANTANA EXPRESS LTDA,TRANSPORTADORA SANTANA EXPRESS LTDA-ME,17.377.885/0001-45,ISENTO,RUA CORONEL ANTONIO DE CARVALHO,GALPAON 01,463,SANTANA,SAO PAULO,02032-030,SP
TRANSPORTADORA RS TRANSPORTES,.,,,.,,.,,,,
TRANSPORTADORA ROTA NORDESTE LTDA - ME,TRANSP ROTA NORDESTE ,06.936.136/0001-94,336734201112,R: SAO MIGUEL ALEIXO,,179,JD STA ISABEL,GUARULHOS,07241-550,SP
TRANSPORTADORA RODRIGUES & RODRIGUES EIRELI,TRANS JATO,20.775.753/0001-86,796.246.633.116,AV LINDOMAR GOMES DE OLIVEIRA,,910,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-150,SP
TRANSPORTADORA RODOVARIS LTDA EPP,TRANSPORTADORA RODOVARIS LTDA EPP,08.770.427/0001-80,336805590119,RUA SUME,,188,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-030,SP
TRANSPORTADORA RODOEXPRESS,TRANSPORTADORA RODOEXPRESS,07.156.788/0002-50,146164832-111,RUA GASPAR COSTA,,15,JARDIM JULIETA,SAO PAULO,02162-140,SP
TRANSPORTADORA RODO CLAM EIRELI,SUICA BRASILEIRA,06.073.075/0002-60,336.838.595.118,R ARTHUR CARL SCHIMIDT,GALPAO3,298,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-050,SP
TRANSPORTADORA ROCHA - SILVIO FERNANDO GRIP,TRANSPORTADORA ROCHA,01.309.106/0001-34,9011235945,BR 116 KM COND. PORTAL DO SULO ,,22301,.,CURITIBA,00000-000,PR
TRANSPORTADORA RISSO LTDA,TRANSPORTADORA RISSO LTDA,52.661.634/0008-65,582588934119,AVENIDA DOUTOR ANTONIO ALVES PASSIG,LT1,220,RESIDENCIAL E COMERCIAL PALMARES,RIBEIRAO PRETO,14092-590,SP
TRANSPORTADORA RISSO LTDA,TRANSPORTADORA RISSO LTDA,52.661.634/0020-51,202045360113,"RUA THOMAZ PETRI, 140",,140,PARQUE  INDUSTRIAL,BARRA BONITA,14340-000,SP
TRANSPORTADORA PRATA EXPRESS,TRANSPORTADORA PRATA EXPRESS,46.174.884/0039-74,111181067114,RUA SARA HELENA MANTELLO,,448,TERMINAL INTERMODAL DE CARGAS (TIC),CAMPINAS,13069-133,SP
TRANSPORTADORA PONTUAL ES,TRANSPORTADORA PONTUAL,01.237.388/0002-92,336998333114,RUA  SARGENTO JETER AUGUSTO PEREIRA ,,38,PARQUE NOVO MUNDO,SAO PAULO,02188-070,SP
TRANSPORTADORA PONTUAL BA,TRANSPORTADORA PONTUAL BA,00.260.413/0002-96,336.455.933-118,AV SERRA BRANCA,,281,CUMBICA,GUARULHOS,07224-050,SP
TRANSPORTADORA PLIMOR LTDA,TRANSPORTADORA PLIMOR,88.085.485/0049-59,336701999110,AV SANTANA,,200,JD MUNHOZ,GUARULHOS,07033-010,SP
TRANSPORTADORA PLIMOR LTDA,TRANSPORTADORA PLIMOR,88.085.485/0001-04,ISENTO,RODOVIA ERS-122 ,KM 61,S/N,MEDIANEIRA,FARROUPILHA,95177-130,RS
TRANSPORTADORA PENHENSE LTDA,PENHENSE LTDA,62.955.596/0001-30,112714538118,RUA: APAURA,PRÓX HERMELINO MATARAZO/PARALELO ASSIS RIBEIRO,1,VILA SILVIA,SÃO PAULO,03821-140,SP
TRANSPORTADORA PADRE CICERO / N&R TRANSP,TRANSPORTADORA PADRE CICERO,12.531.985/0001-60,336516941110,RUA CECILIA ROIZEN,,888,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-020,SP
TRANSPORTADORA OSTEL,TRANSPORTADORA OSTEL,04.560.557/0001-38,148.077.175.119,AVENIDA MANUEL ANTONIO GONCALVES,,436,JARDIM GUANCA,SAO PAULO,02152-000,SP
TRANSPORTADORA OCIANI LTDA,TRANSPORTADORA OCIANI LTDA,75.785.675/0004-35,336860094118,SANTO EXPEDITO,,660, JARDIM SAO GERALDO ,GUARULHOS,07140-040,SP
TRANSPORTADORA NOVO MILENIO,NOVO MILENIO,02.167.223/0003-35,0022296280013,AVENIDA CARDEAL EUGENIO PACELLI,SALA 5,1000,CIDADE INDUSTRIAL,CONTAGEM,32210-002,MG
TRANSPORTADORA NOSSA SENHORA DO PERPETUO SOCORRO LTDA (AGIL&LOG),TRANSPORTADORA NOSSA SENHORA DO PERPETUO SOCORRO LTDA,55.321.174/0002-29,137807362118,RUA SUME,,116,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-030,SP
TRANSPORTADORA NORTE GAUCHO LTDA - EPP ,TRANSPORTADORA NORTE GAUCHO (TNG),91.381.095/0002-77,113.551.020.110,RUA SOLDADO FRANCISCO TAMBORIM,,59,PARQUE NOVO MUNDO,SAO PAULO,02176-070,SP
TRANSPORTADORA NIMEC LTDA,TRANSPORTADORA NIMEC LTDA,88.057.146/0002-03,112.777.502.115,AVENIDA DOUTOR ASSIS RIBEIRO,,5287,VILA SILVA,SAO PAULO,03827-000,SP
TRANSPORTADORA NET'S TUR,.,13.475.409/0001-06,147947478119,RUA 21 DE ABRIL,,107,BRAZ,SAO PAULO,03047-007,SP
TRANSPORTADORA MINUANO LTDA,TRANSPORTADORA MINUANO,87.183.570/0002-23,109.511.133.114,RUA DOMINGOS PACHECO,QUADRA: 5; BOX: 12 13 14 E 15;,S/N,JARDIM JULIETA,SAO PAULO,02162-020,SP
TRANSPORTADORA M.M.A LTDA,TRANSPORTADORA M.M.A LTDA,04.155.259/0002-43,336.723.821.110,AVENIDA VENTUROSA,,888,JARDIM CUMBICA,GUARULHOS,07240-000,SP
TRANSPORTADORA LIDER BR LTDA,TRANSPORTADORA LIDER BR LTDA,18.804.565/0001-97,0022157720030,AV CORONEL JOSE DIAS BICALHO,,172,SAO JOSE,BELO HORIZONTE,31275-050,MG
TRANSPORTADORA JANUARIA LTDA - ME,JANUARIA TRANSPORTES LTDA,17.294.356/0003-40,109.009.980-112,RUA JOAQUIM GERALDO,TERM DE CARGAS FERNAO DIAS QD5 LT5,S/N,JARDIM JULIETA,SAO PAULO,02162-030,SP
TRANSPORTADORA JADLOG,TRANSPORTADORA JADLOG,04.884.082/0003-05,255526890,RODOVIA BR-101,,1550,SANTA CATARINA,JOINVILLE,89233-190,SC
TRANSPORTADORA IZAURA EDIVALDO MARTINS DE SOUSA EIRELI,TRANSPORTADORA IZAURA TRANS JAÓ,08.600.245/0001-61,13.331.371-9,AV.SÃO LUIZ,,723,SÃO LUIZ,CACERES,78200-000,MT
TRANSPORTADORA GR. CRUZ,GR. CRUZ,09.687.053/0001-05,ISENTO,RUA CUSTODIO SERRAO,,84,VILA JAGUARA,SAO PAULO,05116-010,SP
TRANSPORTADORA FLUORITA LTDA,TRANSPORTADORA FLUORITA LTDA,79.290.557/0004-07,114867651119,AVENIDA GUILHERME,,1160,VILA GUILHERME,SAO PAULO,02053-000,SP
TRANSPORTADORA FERREIRA EIRELI,TRANSPORTADORA FERREIRA,03.869.890/0001-60,796.925.860.116,RUA MARIA INES,,334,VILA MOREIRA,GUARULHOS,07021-020,SP
TRANSPORTADORA FABRIZ LTDA,FABRIZ,03.060.874/0002-03,116387898115,RUA SOLDADO ANTONIO APARECIDO ,,20,PQ NOVO MUNDO,SAO PAULO,02187-020,SP
TRANSPORTADORA ECONOMICA EIRELI,TRANSPORTADORA ECONOMICA  ,70.037.379/0009-47,336799553114,RUA SANTA AMELIA,,134,VILA PARAISO,GUARULHOS,07242-130,SP
TRANSPORTADORA E LOGISTICA CST LTDA ME,CST,09.206.678/0001-08,796107908116,AV SERRA BRANCA ,,353,CIDADE SATELITE,GUARULHOS,07224-050,SP
TRANSPORTADORA DURANTE,ANDRE LUIZ DURANTE - ME,05.882.914/0002-28,143438514114,RUA PRIMEIRO-TENENTE-AVIADOR JOAO MAURICIO CAMPOS MEDEIROS,,111,VILA HERMINIA,GUARULHOS,07030-150,SP
TRANSPORTADORA DE CARGAS GERALOG EIRELI (ANTIGA LEAL),TRANSPORTADORA DE CARGAS GERALOG EIRELI,20.556.582/0002-85,796.273.700.110,R IRAQUARA,GALPAO01,18,JARDIM IV CENTENARIO,GUARULHOS,07161-550,SP
TRANSPORTADORA CRISTINA LTDA ME,TRANSPORTADORA CRISTINA LTDA ME,08.781.702/0002-42,148.514.149-118,RUA MANOEL ALONSO ALMENDRA,CONJUNTO RESIDENCIAL PAES DE BARROS ,260,JARDIM CUMBICA,GUARULHOS,07182-120,SP
TRANSPORTADORA CENTRAL LTDA ,TRANSPORTADORA CENTRAL LTDA ,40.582.397/0002-72,113.521.431.118,RUA PASCHOAL ZIMBARDI,,301,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-107,SP
TRANSPORTADORA CAPIVARI LTDA - CAMPINAS,TRANSPORTADORA CAPIVARI LTDA - CAMPINAS,44.597.524/0001-87,244081824116,RUA JOSE BIGATTO,,222,CHACARAS SAO FRANCISCO DO AEROPORTO,CAMPINAS,13052-710,SP
TRANSPORTADORA CALDEIRA LTDA,TRANSPORTADORA CALDEIRA LTDA,53.782.488/0001-12,582219405112,RUA CEARA,,2084,CAMPOS ELISEOS,RIBEIRAO PRETO,14085-520,SP
TRANSPORTADORA AQUARIUN LTDA,AQUYARIUN,53.982.542/0002-54,116962049115,RUA DA BANDUIRA,,195,PARQUE NOVO MUNDO,SAO PAULO,02181-170,SP
TRANSPORTADORA ANTONIO MARIO LTDA - ME ,TRANSAM ,49.994.304/0002-91,111241167119,RUA BENTOPOLIS,,98,PQ NOVO MUNDO,SAO PAULO,02181-080,SP
TRANSPORTADORA AMERICANA LTDA,T.A.,43.244.631/0001-69,165.003.886.115,AVENIDA COMENDADOR THOMAZ FORTUNATO,,3466,CHACARA LETONIA,AMERICANA,13475-010,SP
TRANSPORTADORA AMERICANA LTDA,TRANSPORTADORA AMERICANA LTDA,43.244.631/0021-02,145.853.217.112,AVENIDA DOMINGOS DE SOUZA MARQUES,,604,PARQUE ANHANGUERA,SAO PAULO,05106-010,SP
TRANSPORTADORA AMERICANA LTDA,TRANSPORTADORA AMERICANA LTDA,43.244.631/0030-01,9023510518,RUA CYRO CORREIA PEREIRA,,2000,CIDADE INDUSTRIAL,CURITIBA,81460-050,PR
TRANSPORTADORA ALMEIDA FANTE LTDA,TRANSPORTADORA ALMEIDA FANTE LTDA,00.418.557/0002-28,114.899.767.115,RUA CONSELHEIRO OLEGARIO,,184,VILA ANASTACIO,SAO PAULO,05093-040,SP
TRANSPORTADORA  VARGINHA J.E. MEDES LTDA - ME,TRANSPORTADORA  VARGINHA,25.866.971/0002-20,111024811110,RUA PROFESSORA MARIA JOSE BARONE FERNANDES,,702,VILA MARIA,SAO PAULO,02117-022,SP
TRANSPORTADORA  GRANDE RIO LTDA (T.G.R),T.G.R TRANSPORTES,10.267.201/0006-18,113553937111,RUA APINACO ,,25,VL MARIA,SAO PAULO,02167-060,SP
TRANSPOLI TRANSPORTES EIRELI,TRANSPOLI TRANSPORTES EIRELI,28.401.762/0002-08,241.122.501.113,AV JORDANO MENDES,GALPAO01,806,JORDANESIA (JORDANESIA) ,CAJAMAR,07776-400,SP
TRANSPIONEIRA * ENCERROU AS ATIVIDADES USAR A (7710),TRANSPIONEIRA USAR (7710),21.890.526/0001-64,336770769110,AVENIDA JOAO BASSI,,709,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-440,SP
TRANSPEROLA TRANSPORTES RODOVIARIOS LT,TRANSPEROLA TRANSPORTES,44.433.407/0001-88,336.386.922.110,AV: PAPA JOAO PAULO I,,1795,PQ SAO LUIS,GUARULHOS,07170-350,SP
TRANSPEROLA,ZIYAD TRANSPORTES,08.262.037/0001-08,336782483110,RUA OLARIA,,94,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-260,SP
TRANSPECAS TRANSPORTES ESPECIALIZADO DE CARGAS E REPRESENTACAO LTDA ,TRANSPECAS TRANSPORTES ESPECIALIZADO DE CARGAS E REPRESENTAC,41.247.891/0002-43,ISENTO,RUA SAO GONCALO,,190,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-160,SP
TRANSPAULO CARGAS EIRELI - ME (RECIFE CARGAS),TRANSPAULO CARGAS EIRELI - ME (RECIFE CARGAS),25.142.922/0002-45,796562952111,AVENIDA NOVA CUMBICA,,1167,VILA NOVA CUMBICA,GUARULHOS,07231-000,SP
TRANSPAULISTANA SP LOGISTICA LTDA,TRANSPAULISTANA SP LOGISTICA LTDA,20.067.270/0001-27,ISENTO,RUA MUTUIPE,,780,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-080,SP
TRANSPARANORTE N.E.R. REINHARDT TRANSPORTES - EPP,TRANSPARANORTE,06.311.940/0001-88,336736774115,RUA UMBUZEIRO,,24,CUMBICA,GUARULHOS,07224-010,SP
TRANSPAPAI TRANSPORTES LTDA - ME ,PIONEIRA LOG (ANTIGA TRANSPIONEIRA),17.317.717/0002-45,796.625.918.113,AVENIDA PATOS,,1263,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
TRANSPACIFICO LOCACAO DE VEICULOS EIRELI,TRANSPACIFICO TRANSPORTES RODOVIARIOS,00.973.580/0004-46,336.956.817.115,RUA ANTONIO MESTRINER,,450,BOM SUCESSO,GUARULHOS,07175-550,SP
TRANSP. E LOG. DIAS FERREIRA LTDA,TRANSP. E LOG. DIAS FERREIRA LTDA,16.550.901/0001-97,675235818117,RUA SALETE ,,75,.,TABOÃO DA SERRA,00000-000,SP
TRANSP TRANSCARGA S CARLOS LTDA,TRANSP TRANSCARGA S CARLOS LTDA,61.060.794/0001-73,637.076.887.115,ROD WASHINGTON LUIZ,,KM 236,.,SÃO CARLOS,00000-000,SP
TRANSOESTE TRANSPORTADORA OESTE LTDA - ME,TRANSOESTE,03.581.697/0006-34,336658417111,RUA 12 DE SETEMBRO,,331,VILA GUILHERME,SAO PAULO,02052-000,SP
TRANSNORTE LOGISTICA & TRANSPORTES LTDA,TRANSNORTE E LOGISTICA,18.650.773/0001-89,796129335113,RUA MERCES,,168,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-050,SP
TRANSNORTE CARGAS E ENCOMENDAS LTDA,TRANSNORTE CARGAS E ENCOMENDAS LTDA,65.293.383/0014-01,336.677.857.110,AV  NATALIA ZARIFE ,UNIDADE 20,660,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-040,SP
TRANSNORA LTDA - ME,TRANSNORA,17.862.020/0002-55,112.424.646.113,RUA DR. VIDAL REIS,,583,PARQUE NOVO MUNDO,SAO PAULO,02181-000,SP
TRANSNOBREGA LOGISTICA E DISTRIBUICAO LTDA,TRANSNOBREGA,50.914.949/0001-75,124953383110,RUA FLOR DE CARNAVAL,LOTE  1                   QUADRA30,266,JARDIM MATARAZZO,SAO PAULO,03810-120,SP
TRANSNIT TRANSPORTE RODOVIARIOS DE CARGA LTDA - ME ( TRANS LINTI,TRANSNIT TRANSPORTE RODOVIARIOS DE CARGA LTDA - ME ,17.718.083/0001-51,ISENTO,AVENIDA ARMANDO BEI,,910,VILA NOVA BONSUCESSO,GUARULHOS,07175-000,SP
TRANSNACIONAL CARGO TRANSPORTES LTDA (TRN),TRANSNACIONAL CARGO TRANSPORTES LTDA (TRN),47.239.450/0001-03,181.555.490.113,RUA PROFESSORA ERGILIA MICELLI,QUADRA04 LOTE 19,542,JARDIM REGINA,ARARAQUARA,14808-110,SP
TRANSMODELOG TRANSPORTES RODOVIARIO EIRELI,TRANSMODELOG TRANSPORTES RODOVIARIO EIRELI,29.619.326/0002-64,336829540116,R CONCRETEX,,154,CUMBICA,GUARULHOS,07232-050,SP
TRANSMIRANTES TRANSPORTES LTDA,TRANSMIRANTES TRANSPORTES LTDA,41.368.580/0002-32,336336127118,AV  HUGO FUMAGALI ,,801,CUMBICA,GUARULHOS,07220-080,SP
TRANSMETA GUARULHOS TRANSPORTE E LOGISTICA LTDA - ME,TRANSMETA GUARULHOS TRANSPOTES (SERRANA),10.372.036/0001-50,336859608114,RUA DA LAGOA,,235,CUMBICA,GUARULHOS,07232-152,SP
TRANSMASTER TRANSPORTES URGENTES LTDA - EPP ,TRANSMASTER,02.469.127/0002-60,149901094112,RUA CURUCA,,425,VILA MARIA BAIXA,SAO PAULO,02120-000,SP
TRANSMARRECO LTDA EPP,TRANSMARRECO,16.802.308/0002-71,112426940110,RUA SOLDADO JOAO AMERICO DA SILVA,SALA 01,170,PARQUE NOVO MUNDO,SAO PAULO,02186-010,SP
TRANSMARINHO TRANSPORTES E LOGISTICA LTDA,TRANSMARINHO TRANSPORTES E LOGISTICA LTDA,19.440.740/0004-10,796.194.703-113,AV. PAPA JOÃO PAULO I  ,GALPÃO 07,2258,VILA AEROPORTO,GUARULHOS,07170-350,SP
TRANSMAIS RODOVIARIO E LOGISTICA EIRELI,TRANSMAIS RODOVIARIO E LOGISTICA EIRELI,24.268.770/0002-69,796.565.818.119,RUA ALEXANIA,,310,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-010,SP
TRANSMAIS  ****** USAR 9149,.,12.006.412/0002-07,147.550.132.112,RUA SOLDADO BENEDITO ELISEU DOS SANTOS, SALA 01,144,PARQUE NOVO MUNDO,SAO PAULO,02177-020,SP
TRANSMAICI TRANSPORTE RODOVIARIO EIRELI ,TRANSMAICI TRANSPORTE RODOVIARIO EIRELI ,00.574.570/0001-95,336.990.021.115,RUA ITAJUBA,ANTIGO 785,786,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-030,SP
TRANSMAGNA TRANSPORTES EIRELI,TRANSMAGNA TRANSPORTES EIRELI,79.942.140/0005-62,253.676.860,RODOVIA BR-470,,3073,BADENFURT,BLUMENAU,89072-000,SC
TRANSMAGNA TRANSPORTES EIRELI,TRANSMAGNA TRANSPORTES EIRELI,79.942.140/0006-43,253287707,RUA JULIO STOLF,KM 16,16352,VILA NOVA,JOINVILLE,89237-680,SC
TRANSMAC LOGISTICA INTEGRADA,TRANSMAC LOGISTICA INTEGRADA,12.968.910/0002-22,ISENTO,ESTRADA CAMINHO DO CAMPO DO RINCAO,GALPÃO 2,376,JARDIM CUMBICA,GUARULHOS,07240-330,SP
TRANSLASIL CARGAS LTDA,TRANSLASIL CARGAS LTDA,07.574.298/0001-92,117.125.007.113,RUA PROFESSORA MARIA JOSE BARONE FERNANDES,LETRA: B;,1174,VILA MARIA,SAO PAULO,02117-022,SP
TRANSLAGUNA ARMAZENAGEM E TRANSPORTES EIRELI,TRANSLAGUNA ARMAZENAGEM E TRANSPORTES EIRELI,09.090.999/0002-62,140.455.463.116,AVENIDA LAURO DE GUSMAO SILVEIRA,,445,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-010,SP
TRANSJOI TRANSPORTES LTDA,TRANSJOI TRANSPORTES LTDA,83.630.053/0006-28,671.159.675.118,RUA MARCOS DUTRA PEREIRA,,660,PARQUE BANDEIRANTES I (NOVA VENEZA),SUMARE,13181-720,SP
TRANSJOI TRANSPORTES LTDA,TRANSJOI TRANSPORTES LTDA,83.630.053/0003-85,133.955.153.111,AVENIDA ALEXANDRE COLARES,,786,PARQUE ANHANGUERA,SAO PAULO,05106-000,SP
TRANSJOI TRANSPORTE LTDA,TRANSJOI TRANSPORTE LTDA,83.630.053/0001-13,257254625,RUA ANABURGO,,6708,ZONA INDUSTRIAL NORTE,JOINVILLE,89219-630,SC
TRANSGOSS TRANSPORTES RODOVIARIOS LTDA,TRANSGOSS TRANSPORTES RODOVIARIOS LTDA,08.753.822/0003-17,ISENTO ,RUA MONICA APARECIDA MOREDO,,455,JARDIM FATIMA,GUARULHOS,07177-220,SP
TRANSGOLDEN TRANSPORTADORA GOLDEN LTDA - ME,TRANSGOLDEN LTDA,05.909.733/0001-67,600135230118,RUA SAO PEDRO DO TURVO,,99,CUBICA,GUARULHOS,07224-070,SP
